psi,theta
71,0.201550007
71,0.201550007
71,0.201550007
71,0.201550007
71,0.201550007
71,0.201550007
71,0.2007
71,0.198149994
71,0.198149994
71,0.198149994
71,0.198149994
72,0.198149994
72,0.198149994
72,0.197300002
72,0.195600003
72,0.194749996
72,0.194749996
72,0.194749996
73,0.194749996
73,0.194749996
73,0.194749996
73,0.194749996
73,0.194749996
73,0.194749996
74,0.194749996
74,0.194749996
74,0.194749996
74,0.194749996
74,0.194749996
75,0.193049997
75,0.191349998
75,0.191349998
75,0.191349998
75,0.191349998
75,0.191349998
75,0.191349998
75,0.191349998
75,0.191349998
75,0.191349998
75,0.191349998
75,0.191349998
75,0.18795
75,0.18795
75,0.18795
75,0.18795
74,0.18795
75,0.18795
74,0.18795
74,0.18795
74,0.18795
74,0.18795
74,0.18795
74,0.18795
74,0.187099993
74,0.186250001
74,0.184550002
74,0.184550002
74,0.184550002
74,0.184550002
74,0.184550002
74,0.184550002
74,0.184550002
74,0.184550002
74,0.184550002
75,0.184550002
75,0.184550002
75,0.184550002
75,0.183699995
75,0.181999996
75,0.181150004
75,0.181150004
76,0.181150004
76,0.181150004
76,0.181150004
76,0.181150004
76,0.181150004
76,0.181150004
77,0.181150004
77,0.181150004
77,0.181150004
77,0.181150004
77,0.181150004
77,0.181150004
77,0.181150004
77,0.181150004
77,0.181150004
77,0.181150004
77,0.181150004
77,0.181150004
77,0.180299997
77,0.179450005
77,0.177750006
77,0.177750006
77,0.177750006
77,0.177750006
77,0.177750006
77,0.177750006
77,0.177750006
77,0.177750006
77,0.177750006
77,0.177750006
77,0.177750006
77,0.177750006
77,0.177750006
77,0.177750006
77,0.177750006
77,0.177750006
77,0.176899999
77,0.1752
78,0.174349993
78,0.174349993
78,0.174349993
78,0.174349993
78,0.174349993
78,0.174349993
79,0.174349993
79,0.174349993
79,0.174349993
79,0.174349993
80,0.174349993
80,0.174349993
80,0.174349993
80,0.174349993
81,0.174349993
81,0.174349993
81,0.174349993
81,0.174349993
81,0.172649994
81,0.171800002
82,0.170949996
82,0.170949996
82,0.170949996
82,0.170949996
82,0.170949996
82,0.170949996
82,0.170949996
82,0.170949996
82,0.170949996
82,0.170949996
81,0.170949996
81,0.170949996
81,0.170949996
81,0.170949996
81,0.170949996
81,0.170949996
81,0.170949996
81,0.170949996
81,0.170949996
81,0.170949996
81,0.170949996
81,0.170949996
81,0.170949996
81,0.170949996
81,0.170949996
81,0.170949996
81,0.170100003
81,0.169249997
81,0.168400005
81,0.167549998
81,0.167549998
81,0.167549998
81,0.167549998
81,0.167549998
81,0.167549998
81,0.167549998
81,0.167549998
81,0.167549998
82,0.167549998
82,0.167549998
82,0.167549998
82,0.167549998
82,0.167549998
82,0.167549998
82,0.167549998
82,0.167549998
82,0.167549998
83,0.167549998
83,0.167549998
83,0.167549998
83,0.167549998
83,0.167549998
83,0.167549998
83,0.167549998
83,0.166700006
83,0.165849999
83,0.165000007
83,0.16415
83,0.16415
83,0.16415
83,0.16415
83,0.16415
83,0.16415
83,0.16415
83,0.16415
83,0.16415
83,0.16415
83,0.16415
83,0.16415
